ProjID,Market,DeliveryDate,YearBuilt,Submarket,AgeAtDelivery,SeasonOfDelivery,SubmarketCompetition,RentAtDelivery,AvgOcc_3Mo_PostDelivery,Cluster,tSNE1,tSNE2
13268,"Austin-Round Rock, TX",2008-04-01,2003,Southeast Austin,5,Spring,0,670.0,0.0,2.0,-4.869074,16.067827
18255,"Austin-Round Rock, TX",2008-04-01,2007,East Austin,1,Spring,3,1606.0,0.8489999999999999,2.0,-2.939874,16.299152
18272,"Austin-Round Rock, TX",2008-10-01,2009,Round Rock/Georgetown,-1,Fall,4,1035.0,0.18166666666666664,3.0,1.0496708,-25.316109
19035,"Austin-Round Rock, TX",2008-04-01,2008,Downtown/University,0,Spring,3,2479.0,0.7526666666666667,2.0,-1.3571385,15.482919
19124,"Austin-Round Rock, TX",2008-04-01,2009,Far South Austin,-1,Spring,1,1154.0,0.15666666666666665,2.0,0.84843546,25.0667
19145,"Austin-Round Rock, TX",2008-04-01,2008,Pflugerville/Wells Branch,0,Spring,0,1036.0,0.3466666666666667,2.0,-3.420732,22.620132
19148,"Austin-Round Rock, TX",2008-04-01,2008,Southwest Austin,0,Spring,2,1695.0,0.5693333333333334,2.0,-2.1123893,18.511183
19152,"Austin-Round Rock, TX",2008-04-01,2008,Downtown/University,0,Spring,3,2870.0,0.12333333333333334,2.0,0.15117207,12.659169
19170,"Austin-Round Rock, TX",2008-04-01,2007,Cedar Park,1,Spring,3,1016.0,0.7566666666666667,2.0,-3.3536,16.41386
19199,"Austin-Round Rock, TX",2009-04-01,2009,East Austin,0,Spring,0,1506.0,0.06366666666666666,2.0,-2.367311,23.322863
19373,"Austin-Round Rock, TX",2008-04-01,2008,Southwest Austin,0,Spring,2,1417.0,0.146,2.0,-0.25154406,21.652248
19410,"Austin-Round Rock, TX",2008-04-01,2008,Downtown/University,0,Spring,3,2012.0,0.32633333333333336,2.0,-1.1991614,19.868279
19551,"Austin-Round Rock, TX",2008-04-01,2008,Southwest Austin,0,Spring,2,1149.0,0.16,2.0,0.5633526,21.68759
19622,"Austin-Round Rock, TX",2008-05-01,2008,Cedar Park,0,Spring,3,1054.0,0.5696666666666667,2.0,-0.6369207,17.52775
19624,"Austin-Round Rock, TX",2008-12-01,2008,Pflugerville/Wells Branch,0,Winter,1,1018.0,0.695,0.0,-17.133827,-3.2353246
19625,"Austin-Round Rock, TX",2008-12-01,2009,Downtown/University,-1,Winter,2,1684.0,0.23066666666666666,0.0,-24.235197,-2.6412435
19639,"Austin-Round Rock, TX",2009-12-01,2010,Downtown/University,-1,Winter,1,1864.0,0.8450000000000001,0.0,-16.865837,-1.2982059
19776,"Austin-Round Rock, TX",2008-06-01,2008,Cedar Park,0,Summer,3,930.0,0.599,1.0,15.680158,-0.036749184
19831,"Austin-Round Rock, TX",2009-03-01,2009,Round Rock/Georgetown,0,Spring,5,1028.0,0.6093333333333334,2.0,1.3855323,17.121265
19836,"Austin-Round Rock, TX",2009-03-01,2009,Far South Austin,0,Spring,3,1054.0,0.4146666666666667,2.0,0.39337337,18.177668
19837,"Austin-Round Rock, TX",2009-03-01,2009,Far South Austin,0,Spring,3,1188.0,0.408,2.0,0.22833832,18.354078
19839,"Austin-Round Rock, TX",2008-06-01,2008,North Central Austin,0,Summer,0,865.0,0.103,1.0,15.9426,-3.5419738
19841,"Austin-Round Rock, TX",2008-12-01,2008,Southeast Austin,0,Winter,1,1027.0,0.7840000000000001,0.0,-16.730326,-3.2134025
19869,"Austin-Round Rock, TX",2008-07-01,2008,Downtown/University,0,Summer,5,2108.0,0.25233333333333335,1.0,21.185083,-4.296792
19876,"Austin-Round Rock, TX",2009-01-01,2009,Downtown/University,0,Winter,2,2354.0,0.331,0.0,-21.914108,0.50239843
19952,"Austin-Round Rock, TX",2008-08-01,2008,East Austin,0,Summer,3,1130.0,0.34,1.0,17.881618,-1.098906
19960,"Austin-Round Rock, TX",2008-08-01,2008,East Austin,0,Summer,3,943.0,0.146,1.0,18.660172,-1.3397527
19962,"Austin-Round Rock, TX",2009-03-01,2009,Round Rock/Georgetown,0,Spring,5,925.0,0.4533333333333333,2.0,1.7882851,17.48676
19963,"Austin-Round Rock, TX",2008-09-01,2009,Cedar Park,-1,Fall,3,1045.0,0.17900000000000002,3.0,0.16916017,-24.785633
19965,"Austin-Round Rock, TX",2008-08-01,2008,South Austin,0,Summer,1,1412.0,0.26933333333333337,1.0,17.349339,-2.6296718
20040,"Austin-Round Rock, TX",2009-03-01,2009,Round Rock/Georgetown,0,Spring,5,1058.0,0.4026666666666667,2.0,1.8960555,17.69262
20173,"Austin-Round Rock, TX",2008-11-01,2009,Far West Austin,-1,Fall,0,1551.0,0.079,3.0,-1.7975391,-21.529411
20685,"Austin-Round Rock, TX",2009-03-01,2009,Round Rock/Georgetown,0,Spring,5,1047.0,0.25633333333333336,2.0,2.2272875,18.175869
20697,"Austin-Round Rock, TX",2008-09-01,2009,Far South Austin,-1,Fall,4,873.0,0.27999999999999997,3.0,0.69434536,-25.840565
23047,"Austin-Round Rock, TX",2010-03-01,2010,North Central Austin,0,Spring,1,1266.0,0.5213333333333333,2.0,-3.0920544,19.0749
26327,"Austin-Round Rock, TX",2009-07-01,2009,North Central Austin,0,Summer,0,1243.0,,,,
26336,"Austin-Round Rock, TX",2009-12-01,2009,Northwest Austin,0,Winter,0,1063.0,0.49700000000000005,0.0,-17.96601,-3.196357
26391,"Austin-Round Rock, TX",2009-07-01,2009,Pflugerville/Wells Branch,0,Summer,2,849.0,0.9146666666666667,1.0,15.539734,1.169772
26404,"Austin-Round Rock, TX",2009-09-01,2009,Pflugerville/Wells Branch,0,Fall,2,997.0,0.7566666666666667,3.0,-3.3657448,-26.910612
26406,"Austin-Round Rock, TX",2009-09-01,2009,South Austin,0,Fall,0,2154.0,0.7306666666666667,3.0,-0.2851778,-18.530148
26420,"Austin-Round Rock, TX",2009-12-01,2009,Southwest Austin,0,Winter,1,1138.0,0.746,0.0,-16.997644,-3.0009255
26425,"Austin-Round Rock, TX",2009-12-01,2009,Near North Austin,0,Winter,1,1429.0,0.42700000000000005,0.0,-18.982801,-2.5755615
26436,"Austin-Round Rock, TX",2009-09-01,2009,Downtown/University,0,Fall,1,2959.0,0.5710000000000001,3.0,0.058453206,-18.607588
27065,"Austin-Round Rock, TX",2009-03-01,2009,Far South Austin,0,Spring,3,1131.0,0.20466666666666664,2.0,1.2824681,20.039083
30455,"Austin-Round Rock, TX",2009-03-01,2009,Pflugerville/Wells Branch,0,Spring,3,1141.0,0.5703333333333332,2.0,-0.7400384,17.596607
33780,"Austin-Round Rock, TX",2010-07-01,2010,North Central Austin,0,Summer,1,798.0,0.5333333333333333,1.0,16.333405,0.594915
33925,"Austin-Round Rock, TX",2010-02-01,2010,Cedar Park,0,Winter,0,1136.0,0.15566666666666665,0.0,-19.99772,-1.2418461
34006,"Austin-Round Rock, TX",2009-09-01,2009,Far West Austin,0,Fall,0,1127.0,0.7346666666666667,3.0,-3.8796237,-26.796139
34037,"Austin-Round Rock, TX",2012-09-01,2013,Far South Austin,-1,Fall,1,1105.0,0.2843333333333333,3.0,-1.8523217,-23.817327
34038,"Austin-Round Rock, TX",2010-04-01,2010,Riverside,0,Spring,0,1381.0,0.06266666666666666,2.0,-2.19779,23.711767
34139,"Austin-Round Rock, TX",2010-04-01,2010,Near North Austin,0,Spring,1,1428.0,0.373,2.0,-2.6413481,20.392502
34164,"Austin-Round Rock, TX",2010-03-01,2010,Southwest Austin,0,Spring,2,1025.0,0.322,2.0,-0.0021101828,19.254372
34301,"Austin-Round Rock, TX",2011-10-01,2012,San Marcos,-1,Fall,2,900.0,0.07033333333333334,3.0,-0.8099437,-23.936285
34304,"Austin-Round Rock, TX",2010-09-01,2010,San Marcos,0,Fall,0,980.0,0.8516666666666666,3.0,-3.8965328,-27.023083
34862,"Austin-Round Rock, TX",2013-12-01,2014,Cedar Park,-1,Winter,3,922.0,0.1386666666666667,0.0,-23.443367,-4.1121364
34863,"Austin-Round Rock, TX",2013-12-01,2014,East Austin,-1,Winter,2,1752.0,0.13033333333333333,0.0,-24.514761,-2.7545497
34865,"Austin-Round Rock, TX",2012-09-01,2013,South Austin,-1,Fall,1,1638.0,0.09966666666666667,3.0,-0.6456937,-21.751244
34951,"Austin-Round Rock, TX",2014-07-01,2015,Near North Austin,-1,Summer,3,1548.0,0.131,1.0,23.787958,-0.8835833
35623,"Austin-Round Rock, TX",2013-08-01,2014,South Austin,-1,Summer,2,1574.0,0.08166666666666667,1.0,24.214834,0.39254978
35651,"Austin-Round Rock, TX",2019-09-01,2020,Downtown/University,-1,Fall,1,3420.0,0.11866666666666666,3.0,0.9537303,-19.364
35677,"Austin-Round Rock, TX",2012-08-01,2012,South Austin,0,Summer,1,1819.0,0.2723333333333333,1.0,18.316256,-2.6903067
35678,"Austin-Round Rock, TX",2013-04-01,2014,North Central Austin,-1,Spring,3,1310.0,0.0,2.0,2.3790085,24.059177
35681,"Austin-Round Rock, TX",2013-01-01,2013,Round Rock/Georgetown,0,Winter,0,1290.0,0.12433333333333334,0.0,-20.254326,-1.2023188
35687,"Austin-Round Rock, TX",2012-02-01,2012,Southwest Austin,0,Winter,0,1167.0,0.19933333333333336,0.0,-19.902193,-1.3666551
35750,"Austin-Round Rock, TX",2008-06-01,2008,South Austin,0,Summer,1,1554.0,0.153,1.0,17.669668,-3.3440218
35835,"Austin-Round Rock, TX",2013-08-01,2014,Riverside,-1,Summer,1,1658.0,0.07933333333333333,1.0,24.32143,1.4778936
36130,"Austin-Round Rock, TX",2015-04-01,2015,Downtown/University,0,Spring,1,2926.0,0.24066666666666667,2.0,-0.024536192,13.31138
36477,"Austin-Round Rock, TX",2012-08-01,2012,North Central Austin,0,Summer,1,1003.0,0.22333333333333336,1.0,16.315027,-2.8517466
36480,"Austin-Round Rock, TX",2012-11-01,2013,Far South Austin,-1,Fall,2,1075.0,0.11133333333333333,3.0,-0.7031334,-23.77934
36483,"Austin-Round Rock, TX",2013-10-01,2014,South Austin,-1,Fall,2,1724.0,0.09166666666666667,3.0,0.4308954,-22.032726
36484,"Austin-Round Rock, TX",2014-10-01,2016,South Austin,-2,Fall,4,1920.0,0.06,3.0,2.7693856,-23.182707
36486,"Austin-Round Rock, TX",2018-01-01,2018,Southwest Austin,0,Winter,1,2182.0,0.021,0.0,-22.027643,-0.30769092
37272,"Austin-Round Rock, TX",2013-10-01,2014,East Austin,-1,Fall,2,1669.0,0.12533333333333332,3.0,0.27764615,-22.272463
37301,"Austin-Round Rock, TX",2013-08-01,2014,Cedar Park,-1,Summer,5,1100.0,0.17900000000000002,1.0,23.94782,-2.7223291
37329,"Austin-Round Rock, TX",2013-06-01,2013,North Central Austin,0,Summer,3,1362.0,0.65,1.0,16.13019,-0.25521684
37334,"Austin-Round Rock, TX",2013-01-01,2013,North Central Austin,0,Winter,3,1038.0,0.26866666666666666,0.0,-20.910229,-4.2780957
37339,"Austin-Round Rock, TX",2012-10-01,2013,Pflugerville/Wells Branch,-1,Fall,1,823.0,0.555,3.0,-2.1871946,-26.418991
37407,"Austin-Round Rock, TX",2014-12-01,2016,South Austin,-2,Winter,4,1693.0,0.119,0.0,-25.364664,-4.158327
37409,"Austin-Round Rock, TX",2014-12-01,2015,East Austin,-1,Winter,1,1495.0,0.135,0.0,-24.438677,-1.8604777
37576,"Austin-Round Rock, TX",2012-11-01,2013,Pflugerville/Wells Branch,-1,Fall,1,1118.0,0.122,3.0,-1.6682339,-23.053963
37782,"Austin-Round Rock, TX",2013-04-01,2013,Downtown/University,0,Spring,0,2560.0,0.38366666666666666,2.0,-0.16480114,13.947891
37790,"Austin-Round Rock, TX",2015-03-01,2015,Downtown/University,0,Spring,1,3204.0,0.18200000000000002,2.0,0.0318126,13.045465
37791,"Austin-Round Rock, TX",2014-01-01,2014,Downtown/University,0,Winter,2,2802.0,0.209,0.0,-22.18464,0.8419815
37912,"Austin-Round Rock, TX",2013-07-01,2013,Riverside,0,Summer,1,2448.0,0.20133333333333328,1.0,20.313496,-1.9964051
38303,"Austin-Round Rock, TX",2015-04-01,2015,East Austin,0,Spring,2,1529.0,0.25366666666666665,2.0,-0.9303719,20.962297
38376,"Austin-Round Rock, TX",2013-09-01,2014,Cedar Park,-1,Fall,4,1065.0,0.20933333333333334,3.0,0.9649233,-25.351942
38377,"Austin-Round Rock, TX",2013-04-01,2013,Cedar Park,0,Spring,3,1072.0,0.2363333333333333,2.0,1.2975703,19.664574
38381,"Austin-Round Rock, TX",2015-03-01,2016,Far West Austin,-1,Spring,0,1529.0,0.08566666666666667,2.0,0.6613227,25.645056
38382,"Austin-Round Rock, TX",2015-03-01,2015,North Central Austin,0,Spring,1,1524.0,0.09466666666666666,2.0,-1.6351477,22.46472
38748,"Austin-Round Rock, TX",2013-03-01,2013,San Marcos,0,Spring,0,954.0,0.17333333333333334,2.0,-1.397335,24.09867
38849,"Austin-Round Rock, TX",2014-08-01,2015,Southwest Austin,-1,Summer,1,1381.0,0.05333333333333334,1.0,23.739765,1.800155
41311,"Austin-Round Rock, TX",2014-11-01,2015,South Austin,-1,Fall,4,2157.0,0.12766666666666668,3.0,2.297839,-22.54839
41329,"Austin-Round Rock, TX",2013-12-01,2014,Downtown/University,-1,Winter,2,2078.0,0.16333333333333333,0.0,-24.851048,-2.606376
41406,"Austin-Round Rock, TX",2009-09-01,2009,Round Rock/Georgetown,0,Fall,6,874.0,0.6756666666666667,3.0,-0.07147497,-27.323051
41412,"Austin-Round Rock, TX",2010-03-01,2009,Round Rock/Georgetown,1,Spring,3,930.0,0.6709999999999999,2.0,-3.4743974,16.375021
41571,"Austin-Round Rock, TX",2014-09-01,2015,South Austin,-1,Fall,4,2258.0,0.13133333333333333,3.0,2.3338525,-22.40673
42066,"Austin-Round Rock, TX",2014-05-01,2014,Riverside,0,Spring,1,1945.0,0.11066666666666668,2.0,-2.3585606,21.936533
42127,"Austin-Round Rock, TX",2012-04-01,2012,Far West Austin,0,Spring,0,1236.0,0.11633333333333334,2.0,-1.8435757,23.837252
42276,"Austin-Round Rock, TX",2016-04-01,2016,Downtown/University,0,Spring,3,3388.0,0.26166666666666666,2.0,0.12268854,12.590635
42292,"Austin-Round Rock, TX",2015-03-01,2015,Cedar Park,0,Spring,2,1526.0,0.414,2.0,-1.7623297,19.364605
42294,"Austin-Round Rock, TX",2018-12-01,2018,Near North Austin,0,Winter,1,1679.0,0.7200000000000001,0.0,-17.38837,-2.128963
42296,"Austin-Round Rock, TX",2014-03-01,2014,East Austin,0,Spring,2,1280.0,0.155,2.0,0.21495923,21.640976
42323,"Austin-Round Rock, TX",2013-04-01,2013,Far South Austin,0,Spring,2,1063.0,0.3546666666666667,2.0,-0.23086838,19.01322
42336,"Austin-Round Rock, TX",2015-01-01,2015,South Austin,0,Winter,4,2575.0,0.11633333333333333,0.0,-22.504988,0.92214024
42348,"Austin-Round Rock, TX",2016-09-01,2017,Cedar Park,-1,Fall,4,1344.0,0.15266666666666667,3.0,1.3972857,-24.722021
42567,"Austin-Round Rock, TX",2013-11-01,2014,South Austin,-1,Fall,2,1612.0,0.06033333333333333,3.0,0.20050429,-22.443726
42660,"Austin-Round Rock, TX",2014-02-01,2014,Cedar Park,0,Winter,3,1309.0,0.13133333333333333,0.0,-21.752441,-3.6196618
42731,"Austin-Round Rock, TX",2015-08-01,2016,Cedar Park,-1,Summer,1,1188.0,0.12366666666666666,1.0,22.829351,1.909742
42760,"Austin-Round Rock, TX",2013-10-01,2014,Northwest Austin,-1,Fall,0,1082.0,0.12533333333333332,3.0,-2.3128505,-22.420942
43125,"Austin-Round Rock, TX",2010-09-01,2010,Southwest Austin,0,Fall,1,1108.0,0.567,3.0,-3.5936964,-26.288324
43357,"Austin-Round Rock, TX",2015-03-01,2015,Round Rock/Georgetown,0,Spring,3,1123.0,0.9153333333333333,2.0,-2.2313719,16.940403
43630,"Austin-Round Rock, TX",2014-01-01,2014,Downtown/University,0,Winter,2,1717.0,0.06466666666666666,0.0,-21.855394,-1.6935794
43844,"Austin-Round Rock, TX",2014-02-01,2014,Southeast Austin,0,Winter,0,1231.0,0.262,0.0,-19.706947,-1.5551331
44001,"Austin-Round Rock, TX",2014-12-01,2015,Near North Austin,-1,Winter,1,1663.0,0.5409999999999999,0.0,-23.302582,-1.652786
44404,"Austin-Round Rock, TX",2013-02-01,2013,Cedar Park,0,Winter,2,1329.0,0.10999999999999999,0.0,-21.381975,-2.7144206
44456,"Austin-Round Rock, TX",2014-02-01,2014,North Central Austin,0,Winter,1,1433.0,0.11333333333333333,0.0,-20.922901,-1.7621466
44461,"Austin-Round Rock, TX",2015-10-01,2016,Far South Austin,-1,Fall,3,1300.0,0.246,3.0,0.19908355,-24.722948
44462,"Austin-Round Rock, TX",2013-10-01,2014,Far South Austin,-1,Fall,1,1169.0,0.17666666666666667,3.0,-1.6530967,-23.162754
44464,"Austin-Round Rock, TX",2016-01-01,2016,Far South Austin,0,Winter,2,1288.0,0.32233333333333336,0.0,-20.238203,-3.1722813
44494,"Austin-Round Rock, TX",2014-12-01,2015,Arboretum,-1,Winter,0,1524.0,0.044000000000000004,0.0,-24.683826,-1.2308307
44496,"Austin-Round Rock, TX",2015-06-01,2016,Far South Austin,-1,Summer,2,1232.0,0.12666666666666668,1.0,23.30715,0.3272348
44692,"Austin-Round Rock, TX",2016-03-01,2016,Far South Austin,0,Spring,2,1613.0,0.13566666666666669,2.0,-0.8935014,21.514788
45066,"Austin-Round Rock, TX",2014-05-01,2014,Near North Austin,0,Spring,2,1452.0,0.19933333333333333,2.0,-0.44907779,21.28592
45127,"Austin-Round Rock, TX",2015-12-01,2016,Southeast Austin,-1,Winter,0,1350.0,0.022333333333333334,0.0,-24.688593,-1.1468043
45203,"Austin-Round Rock, TX",2012-02-01,2011,San Marcos,1,Winter,1,1144.0,0.6066666666666666,0.0,-17.380468,-4.099307
45204,"Austin-Round Rock, TX",2011-05-01,2011,San Marcos,0,Spring,1,975.0,0.258,2.0,-0.6093764,23.228363
45569,"Austin-Round Rock, TX",2015-07-01,2016,Southwest Austin,-1,Summer,2,1407.0,0.20766666666666667,1.0,23.02759,0.20785083
46261,"Austin-Round Rock, TX",2016-09-01,2017,Cedar Park,-1,Fall,4,1370.0,0.39999999999999997,3.0,0.25423408,-25.961905
47574,"Austin-Round Rock, TX",2014-11-01,2015,Cedar Park,-1,Fall,1,1257.0,0.09066666666666667,3.0,-1.4025174,-22.658447
47606,"Austin-Round Rock, TX",2013-09-01,2014,North Central Austin,-1,Fall,3,975.0,0.5026666666666667,3.0,-0.8517187,-26.175777
47913,"Akron, OH",2017-09-01,2017,South Summit County,0,Fall,0,1125.0,0.4583333333333333,3.0,-3.884809,-26.089205
48136,"Austin-Round Rock, TX",2016-04-01,2016,South Austin,0,Spring,0,2197.0,0.17366666666666666,2.0,-0.09400561,14.540592
48351,"Austin-Round Rock, TX",2017-06-01,2017,South Austin,0,Summer,2,1796.0,0.169,1.0,19.007986,-3.0871835
49698,"Austin-Round Rock, TX",2014-03-01,2014,Round Rock/Georgetown,0,Spring,1,945.0,0.12933333333333333,2.0,-0.6723009,23.517054
49990,"Austin-Round Rock, TX",2016-06-01,2016,Downtown/University,0,Summer,3,2298.0,0.21366666666666667,1.0,20.542356,-2.951138
50271,"Austin-Round Rock, TX",2014-08-01,2014,Riverside,0,Summer,1,1695.0,0.3293333333333333,1.0,18.02734,-2.4516828
50902,"Austin-Round Rock, TX",2016-08-01,2017,Southwest Austin,-1,Summer,4,1582.0,0.447,1.0,22.914604,-2.3344128
51333,"Akron, OH",2016-01-01,2016,South Summit County,0,Winter,0,1219.0,0.8853333333333334,0.0,-16.360579,-2.9490647
51760,"Austin-Round Rock, TX",2016-07-01,2016,Near North Austin,0,Summer,0,1632.0,0.4996666666666667,1.0,17.872377,0.33002943
51952,"Austin-Round Rock, TX",2016-11-01,2017,South Austin,-1,Fall,1,2788.0,0.14966666666666667,3.0,0.8658748,-19.573606
52209,"Austin-Round Rock, TX",2014-03-01,2014,Far West Austin,0,Spring,0,1382.0,0.165,2.0,-2.2304187,23.378386
52258,"Austin-Round Rock, TX",2015-12-01,2016,Northwest Austin,-1,Winter,1,1244.0,0.347,0.0,-23.694048,-1.8652275
52347,"Austin-Round Rock, TX",2015-03-01,2015,Pflugerville/Wells Branch,0,Spring,1,1103.0,0.149,2.0,-0.8199696,23.202023
52348,"Austin-Round Rock, TX",2017-03-01,2017,Pflugerville/Wells Branch,0,Spring,3,1222.0,0.027999999999999997,2.0,1.5547365,21.251675
52349,"Austin-Round Rock, TX",2017-10-01,2018,Cedar Park,-1,Fall,2,1267.0,0.14066666666666666,3.0,-0.48699245,-23.471655
52374,"Austin-Round Rock, TX",2015-06-01,2016,Northwest Austin,-1,Summer,1,1162.0,0.12533333333333332,1.0,22.755077,1.9444654
52711,"Austin-Round Rock, TX",2015-10-01,2016,Riverside,-1,Fall,0,1623.0,0.07966666666666666,3.0,-1.63099,-21.333221
